rank,na,nb,nk,order,n_params,rank_x_train,sigma2_train,val_FIT_1step,val_FIT_12step,val_FIT_sim,val_RMSE_sim,test_FIT_1step,test_FIT_12step,test_FIT_sim,test_RMSE_sim,test_Bias_sim
58,3,2,4,"(3,2,4)",36,34,0.03543767364893069,78.97609955991229,28.186199662071964,28.688371009439294,2.140990964618899,78.2313091520095,23.702279456717978,24.13593808658633,2.2098224722487805,-0.02529631971297389
59,3,3,4,"(3,3,4)",52,49,0.03500918570220566,79.12308633505238,28.250723540680212,28.641794430731103,2.1424164843540416,78.32930165713346,24.286605265058803,24.5902598222702,2.1966398023742393,-0.014793541790280662
60,4,3,4,"(4,3,4)",53,50,0.0350054893078751,79.12237358653,27.981140372567005,28.17517090146081,2.156426112722929,78.33107525750394,24.21810190697171,24.149340391661145,2.209483516841804,-0.013942420198695316
61,4,2,4,"(4,2,4)",37,35,0.035420897447202025,78.97795867541578,27.690005406751183,27.75691548614936,2.168956078970334,78.23622276360112,23.647577222264594,23.388886500945137,2.2315831233428804,-0.02329265312511168
62,3,1,4,"(3,1,4)",20,19,0.03567600134789295,78.91611857936547,27.07122359604347,27.567219478105244,2.1746147666875086,78.16853864366993,22.789844715277574,23.246880392008883,2.235666866677379,-0.024284529009514895
63,1,3,4,"(1,3,4)",50,47,0.0939972451471985,65.5638797338544,21.966899576801612,27.151114953397403,2.1871717617555713,64.87874916562444,16.028769477799987,22.14707185321515,2.267808379866476,-0.028541228544309648
64,1,4,4,"(1,4,4)",66,62,0.09398143677479517,65.55955982394751,21.60762773643208,27.000497221341703,2.191707857219769,64.87604573308391,15.617604087478842,21.98107197880632,2.272690943600322,-0.03477546346229604
65,1,5,4,"(1,5,4)",82,77,0.09397759085913733,65.55728973957528,20.85373961419642,26.717937502447253,2.2002031213831366,64.87265789109664,14.696452788972103,21.60074505291767,2.283811996503246,-0.027838252621933537
66,4,1,4,"(4,1,4)",21,20,0.035438384266043246,78.97651198229482,25.963072578014636,24.90963142771079,2.254402263129305,78.22981300962545,22.24417336338108,20.538386134679897,2.3145599579370324,-0.018761868550481807
67,5,1,4,"(5,1,4)",22,21,0.035319375132168186,79.01536172843777,26.140419691139492,23.74708959430918,2.2893431901000083,78.25226778817004,22.45376211591019,19.449598240777675,2.346329519758081,-0.020717505905875698
68,5,3,4,"(5,3,4)",54,51,0.03496657687715173,79.1401093137228,21.993471116381226,19.29703075768042,2.422978132111599,78.34871002652575,19.10053799345889,15.174813438946833,2.470906020955333,-0.012047806802366532
69,3,4,4,"(3,4,4)",68,64,0.03246693977799678,79.97603877277191,21.37196537365229,17.980147856846507,2.462531216619572,79.04194446344619,18.66397330985501,16.649486905150603,2.4279999874344087,-0.019326997456883363
70,3,5,4,"(3,5,4)",84,79,0.03240044972593295,79.97972908559265,20.712441315249574,17.827157142703086,2.467137784960519,79.05580089554407,17.759542551810213,16.30403276771887,2.4381080426471553,-0.0022147612455067638
71,4,5,4,"(4,5,4)",85,80,0.03240062380783529,79.98056552707347,20.360086488505512,17.375379068717223,2.480701861825705,79.0555028452957,17.345616892339542,15.872437203535961,2.4506806509938017,-0.0023887117785609518
72,4,4,4,"(4,4,4)",69,65,0.03246640004247121,79.97766698371169,20.80151219515194,17.14838695511619,2.4875036730646243,79.04159795447478,17.982730834591088,15.872558833508021,2.4506318978827464,-0.019648522229334348
73,5,4,4,"(5,4,4)",70,66,0.03246558235995994,79.97900773870155,20.493241206025036,16.37640938882766,2.510681218571504,79.04382744784239,17.845207263959573,15.28499380163394,2.4677476640254663,-0.019279976922019788
74,5,5,4,"(5,5,4)",86,81,0.03239870192159169,79.98250196405013,19.9473083156261,16.25358082894035,2.5143824639348717,79.05863169418306,17.161512182335937,15.03500933774733,2.475075370144961,-0.0018765317491714745
